127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000728
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000381
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/images/twitter.png, HTTP/1.1, 304, 0.000747
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/images/facebook.png, HTTP/1.1, 304, 0.000277
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/images/gplus-32.png, HTTP/1.1, 304, 0.000312
127.0.0.1, 2015-01-30 13:36:39, GET, /results, HTTP/1.1, 200, 0.017892
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/css/calendar.css, HTTP/1.1, 304, 0.000669
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001015
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/jquery.js, HTTP/1.1, 304, 0.001823
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/calendar.js, HTTP/1.1, 304, 0.000756
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/web2py.js, HTTP/1.1, 304, 0.000256
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/css/web2py.css, HTTP/1.1, 304, 0.000296
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000362
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000431
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000331
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000318
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000340
127.0.0.1, 2015-01-30 13:36:40, GET, /psim2web2py/static/images/gplus-32.png, HTTP/1.1, 304, 0.001754
127.0.0.1, 2015-01-30 13:36:40, GET, /psim2web2py/static/images/twitter.png, HTTP/1.1, 304, 0.002645
127.0.0.1, 2015-01-30 13:36:40, GET, /psim2web2py/static/images/facebook.png, HTTP/1.1, 304, 0.001828
127.0.0.1, 2015-01-30 13:36:48, GET, /, HTTP/1.1, 200, 0.020326
127.0.0.1, 2015-01-30 13:36:48, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000488
127.0.0.1, 2015-01-30 13:38:31, GET, /, HTTP/1.1, 200, 0.088519
127.0.0.1, 2015-01-30 13:38:32, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000320
127.0.0.1, 2015-01-30 13:38:35, POST, /, HTTP/1.1, 303, 0.032574
